연번,시도,시군구,법인명,시설명,시설 주소,전화번호,팩스번호,이용자 정원,이용자 현원,종사자 정원
369,대전,유성구,개인,우리들장애인주간보호센터,"대전시 계룡로18번길8(1층, 구암동)",042-823-6243,042-823-6443,12,12,5
370,대전,유성구,개인,장애인주간보호시설 행복나무특수교육원,"대전광여시 유성구 계룡로 55, 2층 203호(봉명동, 유성자이상가)",042-542-1003,042-542-1043,16,13,3
371,대전,유성구,개인,사나래장애인주간보호센터,대전광역시 지족로 272 6층3호,042-825-4614,042-288-9795,10,8,3
372,대전,유성구,한밭제일복지재단,한밭제일 장애인주간보호센터,대전광역시 유성구 계백로 913 C동 2층,042-542-6368,042-541-6368,25,17,7
373,대전,대덕구,누리봄,가나특수교육원,대전 대덕구 신탄진로218번길 57-9,042-637-3025,042-637-0903,13,13,6
374,대전,대덕구,대전가톨릭사회복지회,대덕구장애인종합복지관 주간보호센터,대전광역시 대덕구 신탄진로77,042-637-2259,042-637-8852,15,15,3
375,대전,대덕구,개인,드림장애인주간보호시설,"대전광역시 대덕구 신탄진로804번길75, 1층 102호",070-8126-7330,042-932-7332,10,8,4
376,대전,대덕구,포도원,로뎀나무주간보호센터,대전시 대덕구 대전로 1081(오정동),042-622-0675,042-621-0675,12,12,6
377,대전,대덕구,개인,엘림특수교육원,대전시 대덕구 한남로88번길24(오정동),042-626-3026,042-625-3026,20,21,7
378,대전,대덕구,개인,열매주간보호센터,"대전 대덕구 한남로 137번길 57, 1층(오정동)",042-621-3026,042-622-3027,10,10,6
379,대전,대덕구,대전가톨릭사회복지회,대덕종합사회복지관 장애인주간보호센터,대전광역시 대덕구 덕암로234번길 44,070-7858-2498,042-936-7346,12,11,4
380,대전,대덕구,포도원,포도나무주간보호센터,"대전광역시 대덕구 대전로 1081, 1층",042-622-0674,042-621-0674,12,12,6
381,대전,대덕구,대전광역시지적발달장애인복지협회,해오름주간보호센터,대전 대덕구 신탄진로218번길 32(3층),042-627-3012,042-627-3013,15,13,5
382,대전,대덕구,개인,행복이음주간보호센터,대전광역시 대덕구 계족로740번길 23-13 (읍내동),042-632-2279,042-632-2276,15,15,6
383,울산,중구,시민복지재단,시민장애인주간보호센터,울산광역시 중구 북부순환도로 145,070-7123-0217,052-249-6091,15,14,4
384,울산,중구,울산광역시시각장애인복지연합회,울산중구시각장애인주간보호센터,"울산광역시 남구 번영로 522, 2층",052-912-5677,052-912-5667,12,12,3
385,울산,중구,물푸레복지재단,해솔주간보호센터,울산광역시 중구 함월로 122 4층,052-296-3162,052-293-9819,15,14,3
386,울산,중구,사회복지법인 밝은미래복지재단,백합주간보호센터,"울산광역시 중구 푸름길 15, 301호",052-248-0097,052-248-0098,15,11,6
387,울산,중구,로사리오 카리타스,평화주간보호센터,울산광역시 중구 백양로 160,052-248-6161,052-248-6151,15,15,6
388,울산,중구,사단법인,아름주간보호센터,울산광역시 중구 해오름18길7,052-292-0520,070-4648-4818,15,14,6
389,울산,중구,개인,버팀목장애인주간보호센터,울산광역시 중구 성동길 90,052-248-3161,052-248-3167,12,9,4
390,울산,남구,통도사 자비원,울산남구종합사회복지관 부설 장애인주간보호센터,울산광역시 남구 번영로 107번길,052-266-9963,052-267-5859,15,15,4
391,울산,남구, 울산광역시지적발달장애인복지협회,푸른울타리장애인주간보호시설,"울산광역시 남구 봉월로 70번길, 58 2층",052-276-1512,052-276-1513,12,12,3
392,울산,남구,사단법인울산광역시시각장애인복지연합회,울산광역시시각장애인주간보호센터,"울산광역시 남구 돋질로 114번길3, 1층",052-266-5685,052-266-5685,25,13,3
393,울산,남구,한국신장장애인울산협회,울산광역시신장장애인주간보호센터,"울산광역시 남구 중앙로 274, 2층",052-271-7272,052-271-7072,15,15,3
394,울산,남구,울산보강복지재단,보강장애인주간보호센터,"울산 남구 두왕로 48번길 15, 1층",052-265-8522,052-265-8523,12,9,3
395,울산,남구,개인,한마음주간보호센터,울산광역시 남구 중앙로 128번길 35(달동),052-258-1970,052-258-3970,15,14,3
396,울산,남구,샨띠달마수행공동체,연꽃아이들장애인주간보호시설,울산광역시 남구 삼산로46번길 11-19,052-268-6702,052-258-5097,10,10,3
397,울산,남구,울산장애인복지회,사랑의집장애인주간보호시설,울산시 남구 달삼로 84번길 28-1 1층,052-273-7991,052-260-7942,12,12,3
398,울산,남구,대한예수교장로회 헵시바교회,울산무거복지센터,"울산광역시 남구 신복로46번길 28, 201호",052-277-7472,052-277-7473,20,10,4
399,울산,남구,사단법인행복한우리세상,한우리장애인주간보호시설,울산시 남구 삼산로 181번길 40,052-258-2338,052-258-2339,12,12,3
400,울산,남구,울산광역시지적발달장애인복지협회,무지개장애인주간보호시설,울산광역시 남구 신남로 69-1 대진상가 3층,052-276-1731,052-276-1511,12,12,4
401,울산,남구,사단법인 조은효사랑,가람장애인주간보호센터,울산광역시 남구 수암로 279-10,052-272-5265,052-272-5264,12,9,3
402,울산,남구,사회복지법인 해울이복지재단,해울이주간보호센터,"울산광역시 남구 삼산로67번길 30, 3층",052-266-0520,052-266-0526,12,9,3
403,울산,남구,개인,사랑나눔장애인주간보호센터,울산광역시 남구 월평로 160- 2층,052-271-4175,052-261-4120,12,7,3
404,울산,남구,개인,울산장애인주간보호센터,"울산광역시 남구 중앙로258번길 11, 2층",052-917-9292,052-917-9296,12,8,3
405,울산,남구,반디복지,장애인주간보호센터 별,"울산광역시 남구 월평로9, 대교메디컬 5층",052-242-0078,052-275-0078,12,8,3
406,울산,동구,울산광역시지적발달장애인복지협회,사랑울타리,울산 동구 화잠8길 10 (방어동),052-235-0413,052-235-0418,12,10,3
407,울산,동구,사회복지법인 밀알선교단(대전),밀알주간보호센터,"울산 동구 문재5길 39, 1층 (방어동)",052-252-9387,052-235-9387,15,10,3
408,울산,동구,사단법인 친한친구들,동구종합사회복지관 부설 장애인주간보호센터,울산 동구 봉수로 155 (서부동),052-236-1468,052-236-1470,12,12,3
409,울산,동구,사회복지법인 동울산새마을금고 느티나무복지재단,다흰주간보호센터,울산 동구 녹수길 25 (전하동),052-232-5175,052-236-9090,12,8,3
410,울산,동구,사회복지법인 로사리오카리타스,동구장애인복지관 장애인주간보호센터,울산 동구 방어진순환도로 1273-1 (서부동),052-710-5993,052-710-5990,13,13,4
411,울산,동구,사단법인 친한친구들,곰솔주간보호센터,울산 동구 봉수로 155 (서부동),052-236-7179,052-235-7179,15,15,6
412,울산,북구,사회복지법인 어울림복지재단,울산북구장애인주간보호센터,"울산광역시  북구 동대 8길 40, 2층",070-4035-7930,070-8220-0996,12,9,3
413,울산,북구,메아리,메아리주간보호시설,울산광역시 북구 갓안 1길 9,052-295-2304,052-295-2303,15,12,4
414,울산,북구,사단법인 행복느티나무,행복챌린지최중증주간보호센터,울산광역시 북구 무룡로 128(행복챌린지최중증주간보호센터),052-288-0056,052-288-0058,15,11,6
415,울산,북구,사단법인 조은효사랑,참사랑주간보호센터,"울산광역시 북구 신답로 48, 313호",052-282-5265,052-281-5264,12,10,3
416,울산,북구,사회복지법인 어울림복지재단,울산장애인복지센터 주간보호시설,울산광역시 북구 동대11길 49,052-286-1070,052-286-1069,20,15,3
417,울산,울주군,사단법인 울산장애인인권복지협회,햇살장애인주간보호시설,"울산광역시 울주군 범서읍 천상중앙길 104, 4층",052-246-1371,070-8668-6685,16,16,4
418,울산,울주군,울주군시설관리공단,온산장애인주간보호센터,울산광역시 울주군 온양읍 남창1길 13,052-229-9330,052-229-9339,12,11,3
419,울산,울주군,울주군시설관리공단,범서장애인주간보호센터,울산광역시 울주군 범서읍 천상4길 28-9,052-229-9390,052-229-9399,12,12,3
420,울산,울주군,개인,마중물주간보호센터,울산광역시 울주군 범서읍 천상1길 20-11 1층,052-221-2412,052-212-2412,12,11,3
421,울산,울주군,울산광역시지적발달장애인복지협회 울주군지부,보담장애인주간보호시설,"울산광역시 울주군 청량읍 상남길1, 2층",052-227-1516,052-227-1518,12,11,4
422,울산,울주군,개인,예담장애인주간보호시설,"울산광역시 울주군 범서읍 천상길52, 1층",052-245-5552,052-245-5553,12,7,3
423,울산,울주군,사회적협동조합 정인,정인장애인주간보호시설,울산광역시 울주군 언양읍 구수길 67-,052-262-2288,052-262-2299,12,5,3
424,세종,세종시,사회복지법인대한불교조계종사회복지재단,종촌종합복지센터 장애인주간보호센터,세종특별자치시 도움1로 116 종촌종합복지센터 2층,044-850-3070,044-866-5403,16,15,7
425,세종,세종시,사회복지법인세종충남가톨릭사회복지회,세종장애인주간보호센터,세종특별자치시 전의면 삼성당1길 52-32,044-865-1602,044-865-1603,30,22,10
426,세종,세종시,사단법인세종시장애인부모회,보람장애인주간보호센터,"세종특별자치시 한누리대로 2107, 2층",044-868-4155,044-868-4158,25,20,10
427,경기,수원시,사회복지법인,수원시정자동장애인주간보호시설,경기도 수원시 장안구 수성로245번길 86,031-248-5340,031-248-5341,63,62,25
428,경기,수원시,구세군복지재단,구세군장애인주간보호시설,경기도 수원시 권선구 수인로 192번길 65-5,031-257-3404,031-291-3405,12,10,4
429,경기,수원시,기독교대한감리회사회복지재단,북수원장애인주간보호시설,경기도 수원시 장안구 파장천로44번길 27,031-246-2160,031-246-2161,15,14,5
430,경기,수원시,브솔복지재단,브솔장애인주간보호센터,"경기도 수원시 영통구 월드컵로 76, 3층",031-214-1406,031-214-1407,16,7,5
431,경기,수원시,천주교 싸리따스수녀회 유지재단,수원시오목천동장애인주간보호시설,경기도 수원시 권선구 서수원로 124,031-296-6255,031-296-6256,27,26,12
432,경기,수원시,수원제일복지재단,노을빛장애인주간보호센터,경기도 수원시 팔달구 팔달문로 41번길 24,031-256-9004,031-254-9004,10,7,4
433,경기,수원시,수원중앙복지재단,수원시광교장애인주간보호시설,경기도 수원시 영통구 센트럴타운로 22 (이의동),031-8006-7460,031-8006-7499,72,69,26
434,경기,수원시,수원중앙복지재단,꿈자리보금자리,"경기도 수원시 팔달구 행궁로77, 송산빌딩6층",031-224-6491,031-224-6991,24,20,7
435,경기,수원시,꿈행복나눔재단,수원시홍재장애인주간보호시설,경기도 수원시 권선구 곡반정로 194번길 19,031-224-0625,031-224-0627,100,78,37
436,경기,수원시,수원중앙복지재단,수원시장애인종합복지관 부설 주간보호센터,경기도 수원시 영통구 창룡대로 255번길,031-207-1501,031-207-1504,30,30,9
437,경기,수원시,천주교수원교구사회복지회,호매실장애인종합복지관 부설 주간보호센터,경기도 수원시 권선구 호매실로 211(호매실동),031-893-2180,031-893-2179,36,29,11
438,경기,용인시,한국지체장애인협회,용인서처인장애인복지관 부설 주간보호센터,경기도 용인시 처인구 경안천로 318,031-320-4880,031-320-4899,16,14,5
439,경기,용인시,양지바른,용인시기흥장애인복지관 부설 주간보호센터,경기도 용인시 기흥구 용구대로 2468번길 94,031-895-3258,031-895-3203,40,39,11
440,경기,용인시,지구촌사회복지재단,용인시수지장애인복지관 부설 주간보호센터,"경기도 용인시 수지구 포은대로 435(풍덕천동 720) 수지복지센터 3층, 주간보호센터",031-270-0250,031-270-0202,16,16,5
441,경기,용인시,사회복지법인천주교인보회,다솜의집,경기도 용인시 처인구 포곡읍 백옥대로 1832번길 56,031-321-4170,031-31-2947,40,30,14
442,경기,용인시,베데스다복지재단,더사랑주간보호센터,경기도 용인시 기흥구 신정로 69,031-284-7610,031-284-7620,24,22,8
443,경기,용인시 ,대한불교조계종사회복지재단 ,용인시장애인주간보호센터 라온 ,경기도 용인시 처인구 양지면 한터로 341-23,031-322-0297,031-322-0298,16,15,6
444,경기,용인시,말아톤복지재단,향상행복한센터,경기도 용인시 기흥구 언동로 140(향상교회 2층),031-8009-0823,031-8009-0824,10,10,4
445,경기,용인시,드림웰페어 사회적협동조합,마실장애인지원센터,"경기도 용인시 기흥구 흥덕2로 105번길 5, 서서타워 207호",031-216-9993,031-216-9995,12,0,1
446,경기,용인시,개인,두나미스,"경기도 용인시 수지구 현암로 119, 죽전메디뷰 601호 ",031-265-9442,,15,3,3
447,경기,고양시,사회복지법인 해피월드 복지재단,원당사회복지관 무지개장애인주간보호센터,"경기도 고양시 덕양구 호국로 716번길 13-11, 3층",031-994-4090,031-966-4009,15,15,5
448,경기,고양시,대건카리타스,해늘장애인주간보호센터,경기도 고양시 일산서구 고양대로 654,031-975-1029,031-976-1029,13,12,5
449,경기,고양시,사회복지법인 한국장로교복지재단,원당주간보호센터,경기도 고양시 덕양구 호국로809(주교동),031-966-7596,031-966-7597,20,11,5
450,경기,고양시,한국장애인부모회고양지부,고양시장애인부모회주간보호시설,경기도 고양시 일산동구 강송로88번길 8-12 2층,031-902-2249,031-932-2247,17,13,5
451,경기,고양시,즐거운사회적협동조합,즐거운장애인주간보호센터,"경기도 고양시 덕양구 보광로 12번길23-8,1,2층(고양동)",031-968-7779,031-969-8972,20,13,5
452,경기,고양시,사회복지법인 천애원,고양시장애인주간보호센터,경기도 고양시 일산서구 고양대로 672번길 15-7,031-975-6723,031-975-6721,100,80,32
453,경기,고양시,사회복지법인 대건카리타스,기쁨터,경기도 고양시 일산동구 견달산로 225번길 21-91,031-904-6990,031-904-6994,22,19,8
454,경기,고양시,승가원,고양시덕양행신장애인주간보호센터,"경기도 고양시 덕양구 서정마을2로 13, 1층",031-839-6100,031-839-6198,29,29,17
455,경기,고양시,우림복지재단,문촌7장애인주간보호센터,경기도 고양시 일산서구 킨텍스로 340,031-922-4072,031-926-4047,14,12,4
456,경기,고양시,홀트아동복지회,고양시장애인종합복지관부설주간보호센터,경기도 고양시 일산서구 탄현로139,031-929-1424,031-929-1409,40,26,12
457,경기,성남시,굿패밀리복지재단,은행다온주간센터,경기도 성남시 중원구 산성대로518번길 30 2층,070-4923-6484,031-743-8300,16,15,4
458,경기,성남시,복)양친사회복지회,서호주간센터,경기도 성남시 수정구 복정로 109,031-757-0109,031-757-4109,40,25,11
459,경기,성남시,한국지체장애인협회,한우리장애인주간보호센터,경기도 성남시 중원구 순환로226번길 8,031-733-9944,031-733-9669,50,49,14
460,경기,성남시,함께웃는재단,마음톡톡센터,"경기도 성남시 분당구 성남대로 52, 그랜드프라자 501호",031-719-6112,031-719-6110,16,14,6
461,경기,성남시,말아톤복지재단,말아톤주간보호센터,경기도 성남시 분당구 내정로 17번길 8 5005호,031-718-3015,031-604-9456,30,25,9
462,경기,성남시,밀알복지재단,한마음주간보호센터,"경기도 성남시 분당구 야탑로227, 1층",031-725-9544,031-725-9548,40,31,10
463,경기,성남시,분당우리복지재단,우리주간보호센터,경기도 성남시 분당구 황새울로 311번길 9 분당우리교회 드림센터 909호,070-4820-2822,070-8280-6110,30,29,9
464,경기,성남시,참사람들,판교장애인주간보호센터,경기도 성남시 분당구 운중로 254,031-702-8101,031-709-8101,20,16,6
465,경기,성남시,여의도순복음연합,성남행복누리센터,"경기도 성남시 중원구 도촌북로 92, 2층 성남행복누리센터 ",031-720-8554,0505-300-8554,16,15,6
466,경기,성남시,할렐루야복지재단,사랑의학교,"경기도 성남시 분당구 야탑로 245, 4층",031-698-2040,031-8017-0420,45,44,17
467,경기,화성시,지구촌사회복지재단,화성시동탄아르딤장애인주간보호센터,경기도 화성시 동탄대로10길 17-12 L층,031-8077-0860,031-8077-0808,40,36,10
468,경기,화성시,학교법인 일송학원,나래울장애인주간보호센터,경기도 화성시 여울로2길 33(능동),031-8015-7460,031-8015-7310,24,21,6
469,경기,화성시,사단법인 힘찬동네,화성남부장애인주간보호센터,경기도 화성시 향남읍 행정서로 3길 50,031-8059-2722,031-8059-2708,16,12,4
470,경기,화성시,대한불교조계종,아르딤장애인주간보호센터,경기도 화성시 향남읍 도이1길 104,031-366-6535,031-5183-8995,28,24,7
471,경기,화성시,사회복지법인 천주교수원교구,화성서부장애인주간보호센터,경기도 화성시 송산면 사강로 145,070-4924-0881,031-356-0880,12,12,3
472,경기,화성시,사단법인 힘찬동네,봉담해밀장애인주간보호센터,"경기도 화성시 봉담읍 상리3길 135, 화성봉담2 LH3단지 307동 1층",031-360-0878,031-360-0879,16,9,4
473,경기,화성시,재단법인기독교대한하나님의성회,동탄어울림장애인주간보호센터,경기도 화성시 동탄대로시범길 133 동탄어울림종합사회복지관 내,070-8858-9268,031-376-5411,16,10,4
474,경기,화성시,사회복지법인지구촌사회복지재단,동탄아르딤장애인주간보호센터,경기도 화성시 동탄대로 10길 17-12 화성시동탄아르딤복지관,031-8077-0860,031-8077-0808,40,36,11
475,경기,화성시,사회복지법인대한예수교장로회,와우리장애인주간보호센터,경기도 화성시 봉담읍 와우안길 99,031-223-3060,070-4324-4432,28,22,9
476,경기,부천시,더플러스에이블사회적협동조합,실로암장애인주간보호시설,"경기도 부천시 소향로 25 (상동, 서해프라자) 801호",032-328-0339,0504-067-0338,20,14,5
477,경기,부천시,우리동네사람들,우리동네부천장애인주간보호센터,"경기도 부천시 심곡로9번길 46, 2층",032-665-6603,032-665-6608,10,10,4
478,경기,부천시,사회복지법인기독교대한감리회사회복지재단,아름다운집주간보호시설,"경기도 부천시 소향로13번길 14-16 703호(대맥프라자, 상동)",032-348-9292,032-348-9293,20,20,8
479,경기,부천시,더플러스에이블사회적협동조합,안다미장애인주간보호시설,경기도 부천시 소향로13번길 20 테마파크 402호,032-216-1202,032-216-1204,16,20,6
480,경기,부천시,사랑의공동체,물댄동산장애인주간보호시설,"경기도 부천시 경인로392번길25, 다상 102호",032-345-6966,032-614-9963,10,10,4
481,경기,부천시,즐거운사회적협동조합,그루터기장애인주간보호시설,경기도 부천시소향로37번길13-22에이원프라자402호,032-322-6644,032-673-1432,20,20,5
482,경기,부천시,사단법인 부천사랑터,부천사랑터장애인주간보호시설,"경기도 부천시 길주로 276 무광오피스 301호(중동, 무광오피스빌딩)",032-212-8749,032-321-8749,20,20,7
483,경기,부천시,사회복지법인 인천가톨릭사회복지회,부천시장애인종합복지관  장애인활동센터,경기도 부천시 오정구 역곡로 367,032-670-1136,032-681-0799,30,24,9
484,경기,부천시,희망장애인지원센터,희망장애인주간보호시설,"경기도 부천시 상동로117번길 49, 501호(아트프라자)",032-256-7005,032-655-7700,11,10,4
485,경기,부천시,사단법인 하울회,하늘아래장애인주간보호시설,"경기도 부천시 범안로 54, 302호, 303호(괴안동,그린홈프라자)",032-349-6828,032-226-6828,28,28,9
486,경기,부천시,서로나눔사회적협동조합,서로나눔 주간보호센터,경기도 부천시 경인로536번길57-3층3,070-4042-9462,070-4042-9463,10,9,4
487,경기,남양주시,대한성공회유지재단,남양주시장애인복지관 주간보호센터,경기도 남양주시 홍유릉로 273-1,070-5001-3353,031-592-8150,15,12,6
488,경기,남양주시,대한성공회유지재단,남양주시장애인복지관 성인주간보호센터,경기도 남양주시 홍유릉로 275-12,031-524-9955,031-592-8150,15,15,6
489,경기,남양주시,사회복지법인 대한불교조계종사회복지재단,남양주시북부장애인복지관 주간보호센터,경기도 남양주시 진접읍 경복대로 507-1 2층,031-574-2671,031-574-2672,24,22,11
490,경기,남양주시,사회복지법인 신망애복지재단,남양주시장애인주간보호센터,경기도 남양주시 수동면 비룡로 972번길 17,031-593-6363,031-593-6335,20,19,8
491,경기,남양주시,한국장애인부모회,나무장애인 주간보호센터,경기도 남양주시 경춘로 1256번길 7(강남프라자 502호),031-594-4957,031-591-4906,12,10,5
492,경기,안산시,밀알복지재단,안산시장애인주간보호시설,경기도 안산시 단원구 원초로 80,031-418-9863,031-418-9864,35,30,14
493,경기,안산시,강물,빛과둥지주간,경기도 안산시 상록구 시낭공원안길 22,031-405-0953,031-405-0961,16,14,5
494,경기,안산시,강물,꿈꾸는 둥지,경기도 안산시 상록구 시낭공원안길 22,031-405-0953,031-405-0961,13,13,5
495,경기,안산시,밀알복지재단,안산밀알센터,"경기도 안산시 단원구 원포공원1로 60, 505호(초지동)",031-401-0902,031-439-4430,30,21,8
496,경기,안산시,행복한길,행복한길,경기도 안산시 상록구 광덕1로 350 신도프라자 601호,031-415-0214,031-415-0215,20,17,6
497,경기,안산시,행복한길,하늘빛샘,경기도 안산시 상록구 광덕1로 350 신도프라자 602호,031-475-0216,031-475-0217,20,17,7
498,경기,안산시,동산복지재단,맑은동산(주간),경기도 안산시 상록구 중보로 55 삼성프라자 704호,031-417-5521,031-417-5529,20,15,6
499,경기,안산시,라온우리,라온우리장애인주간보호센터,경기도 안산시 단원구 원포공원1로 59 신명트윈타워A동-302호,070-8254-4003,031-409-4005,18,15,6
500,경기,안산시,해밀,해밀장애인주간보호센터,경기도 안산시 단원구 선부로 183 화성프라자 604호 ,031-437-3237,070-4032-2552,14,14,5
501,경기,안산시,밀알복지재단,안산시온유한센터,경기도 안산시 상록구 본원로5안길 11,070-7576-0870,070-7543-5023,20,15,6
502,경기,안산시,동산복지재단,상록큰숲주간센터,경기도 안산시 상록구 차돌배기로 24-2,031-406-1200,031-409-2200,20,15,5
503,경기,안산시,행복한길,행복이룸주간센터,"경기도 안산시 단원구 원포공원2로 35, 305호",031-8032-9244,031-8032-9245,20,11,5
504,경기,안산시,더불어숲,더불어숲주간센터,"경기도 안산시 단원구 원포공원1로 49, 509-2호",031-414-3267,031-414-3266,20,15,6
505,경기,평택시,평안밀알복지재단,비전장애인주간보호센터,경기도 평택시 중앙1로56번길 25 1층,031-617-9115,031-617-9116,30,9,9
506,경기,평택시,사회복지법인 에바다복지회,에바다장애인주간보호센터,경기도 평택시 팽성읍 노와길 447,031-692-2267,070-4015-8510,20,16,5
507,경기,평택시,평안밀알복지재단,평안밀알센터,"경기도 평택시 평남로 90-19, 3층",031-647-0931,031-647-0932,24,21,9
508,경기,평택시,평택복지재단,평택북부장애인주간보호센터,경기도 평택시 서정로 295,031-615-3943,031-615-3995,25,24,8
509,경기,평택시,사회복지법인 고앤두,하래장애인주간보호센터,경기도 평택시 포승읍 한유지길 80-26,031-683-3566,031-681-8494,15,13,7
510,경기,평택시,연꽃마을,합정장애인주간보호센터,"경기도 평택시 조개터로 2번길 41,장애인회관신관2층",031-618-7300,031-618-7070,30,29,13
511,경기,평택시,사회복지법인 고앤두,서부장애인주간보호센터,경기도 평택시 안중읍 안현로서 4길 9,031-686-6491,031-686-6490,15,11,6
512,경기,평택시,평택복지재단,팽성장애인주간보호센터,경기도 평택시 팽성읍 팽성남산 4길 6,031-650-2650,031-618-8643,28,25,9
513,경기,안양시,성민원,안양시관악장애인주간보호센터,경기도 안양시 만안구 경수대로 1132,031-473-7776,070-4015-0066,30,26,9
514,경기,안양시,돕는사람들,안양시수리장애인주간보호센터,경기도 안양시 만안구 냉천로 39,031-465-1465,031-8056-9950,28,23,9
515,경기,안양시,돕는사람들,만안장애인주간보호센터,"경기도 안양시 만안구 박달로 547-1, 2층(안양동, 만안종합사회복지관)",031-464-9702,070-8978-7730,20,20,6
516,경기,안양시,희망터장애인사회적협동조합,희망아카데미장애인주간보호센터,"경기도 안양시 동안구 엘에스로 45, 대영골든타워 310호",031-477-5900,031-477-5902,12,11,5
517,경기,안양시,열손가락서로돌봄사회적협동조합,열손가락장애인주간보호센터,"경기도 안양시 만안구 창박로 41, 304호·305호 (포커스라인프라자)",031-444-1192,031-442-1198,12,12,4
518,경기,안양시,다누리장애통합사회적협동조합,다누리장애인주간보호센터,"경기도 안양시 만안구 안양로 511, 6층",031-464-4100,031-464-4200,12,10,4
519,경기,안양시,행복플러스사회적협동조합,행복플러스장애인주간보호센터,"경기도 안양시 만안구 박달우회로138번길 18, 1층",031-469-9945,031-469-9445,10,10,4
520,경기,안양시,난치병아동돕기운동본부,두리망장애인주간보호센터,"경기도 안양시 동안구 엘에스로 45, 206호",031-429-9065,031-429-9066,12,10,3
521,경기,시흥시,사회복지법인 룸비니,시흥장애인종합복지관 부설 장애인주간보호시설,경기도 시흥시 정왕대로 233번길 27-1,031-431-9114,031-431-9124,21,19,6
522,경기,시흥시,시흥시자원봉사단체협의회,대야장애인주간보호시설,경기도 시흥시 호현로 55 대야종합사회복지관2층,031-404-8110,031-404-8115,15,12,5
523,경기,시흥시,사단법인수수꽃다리,늘푸름장애인주간보호시설,"경기도 시흥시 마유로416, 월드프라자3층307호031-498-1268031-498-1262",031-498-1268,031-498-1262,12,11,5
524,경기,시흥시,사회적협동조합 빛길,빛길장애인주간보호시설,"경기도 시흥시 미산로 143번길, 3층",031-311-4211,031-311-4213,20,16,6
525,경기,시흥시,경기도지적발달장애인복지협회 시흥시지부,하나더하기장애인주간보호시설,경기도 시흥시 하중로 193 조은프라자 4층 401호,031-314-3600,031-314-3601,10,10,4
526,경기,김포시,사회복지법인 룸비니,김포시 장애인주간보호센터,"경기도 김포시 사우중로 108, 김포보건소 별관 1층",031-983-4121,031-983-4120,40,37,14
527,경기,김포시,사회복지법인 룸비니,김포시 성인장애인주간보호센터,"경기도 김포시 사우중로 100, 3층",031-989-9322,031-989-9325,16,13,6
528,경기,김포시,인천가톨릭사회복지회,김포시 장애인복지관 주간보호센터,경기도 김포시 김포한강3로 291,031-997-3648,070-7377-9750,27,21,9
529,경기,김포시,사회복지법인 세석밀알,김포밀알주간보호센터,"경기도 김포시 하성면 애기봉로 845, 복지문화센터 2층",031-988-5136,031-988-5132,10,10,5
530,경기,김포시,대한불교조계종사회복지재단,용화사장애인주간보호센터,경기도 김포시 금포로 1487-5,031-981-5380,031-981-5320,20,10,4
531,경기,파주시,한국지적발달장애인복지협회,파주시장애인주간보호센터,경기도 파주시 금정 7길 35-1,031-957-2605,031-957-2606,20,14,6
532,경기,파주시,해피월드복지재단,파주시문산종합사회복지관 장애인주간보호센터,경기도 파주시 문산읍 통일로 1680 문산행복센터 1층,031-934-2071,031-934-2009,25,24,6
533,경기,파주시,파주처음교회,해오름장애인주간보호센터,경기도 파주시 운정로 78-24,070-4801-3781,031-949-0003,20,16,5
534,경기,파주시,사회복지법인 대건카리타스,파주시장애인주간보호시설 도란도란,"경기도 파주시 문화로 34 한성빌딩 2,3층",031-942-8000,031-942-8888,25,25,8
535,경기,의정부시,한국지체장애인협회,의정부시장애인종합복지관 부설 장애인주간보호센터,경기도 의정부시 용민로 160,031-850-5352,031-853-8921,20,19,8
536,경기,의정부시,의정부밀알복지재단,의정부시장애인주간보호시설 곰두리네집,경기도 의정부시 진등로 11번길 9,031-829-8293,031-829-8295,30,20,10
537,경기,광주시,한국발달장애복지센터,광주시장애인주간보호시설(북부권),경기도 광주시 사기막길 95번길 59,031-768-9400,031-768-9402,30,23,8
538,경기,광주시,사회복지법인 향림원,광주시장애인주간보호시설,경기도 광주시 곤지암읍 광여로 555-40,031-762-8532,031-762-8541,30,17,7
539,경기,광주시,사회복지법인 할렐루야복지재단,할렐루야 광주 주간보호센터,경기도 광주시 곤지암읍 신만로58번길 29-8,031-768-0420,031-768-0421,16,16,5
540,경기,광주시,사회복지법인 조이하트,조이하트 장애인주간보호센터,"경기도 광주시 마루들길 300, C블럭 상가동 1층, 102호, 103호",070-7793-3791,031-624-5995,12,12,4
541,경기,광명시,성모성심수도회,광명장애인종합복지관주간보호센터,경기도 광명시 목감로 120,02-2616-3700,02-2616-3368,16,21,4
542,경기,광명시,성모성심수도회,성인장애인주간보호센터,경기도 광명시 목감로 120,02-2616-3700,02-2616-3368,30,26,9
543,경기,광명시,개인,사랑터,경기도 광명시 광명로 823,02-2060-0620,02-2060-0620,12,12,4
544,경기,하남시,하울회,하늘아래주간보호시설,"경기도 하남시 덕풍동로 111-15, 507호",070-8802-4404,050-4240-4404,10,8,4
545,경기,하남시,하남교회,하남시장애인주간보호시설,경기도 하남시 검단로 19번길 27,031-796-0455,031-796-0440,24,24,8
546,경기,하남시,대한예수교장로회  한국장로교복지재단,하남시장애인복지관  주간보호센터,"경기도 하남시 미사강변남로  56,1층,3층",031-794-2266,031-794-2261,20,16,9
547,경기,군포시,사단법인 사랑의손길,군포시장애인주간보호시설,경기도 군포시 청백리길 18 ,031-8068-8862,031-398-7432,15,16,4
